X.5,X.4,X.3,X.1,X,Unnamed..0,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,PROLIFICID,CONSENT,EXPGRP,CHIN_SPECIFIC,CHIN_SPECIFIC_6_TEXT,NONASIA_SPECIFIC,NONASIA_SPECIFIC_19_TEXT,NonWNonA_Specific,NonWNonA_Specific_7_TEXT,NonWNonA_Specific_14_TEXT,OTHER_RACE_1,OTHER_RACE_2,OTHER_RACE_3,OTHER_RACE_4,OTHER_RACE_5,OTHER_RACE_6,OTHER_RACE_7,OTHER_RACE_4_TEXT,OTHER_RACE_5_TEXT,OTHER_RACE_6_TEXT,OTHER_RACE_7_TEXT,DOB_1,DOB_2,DOB_3,SEX,SEX_4_TEXT,EDUCATION_1,EDUCATION_2,EDUCATION_3,COUNTRY_BORN,COUNTRY_BORN_2_TEXT,BIRTHCTRY_RESIDENCE,OTHER_COUNTRIES.1_1_TEXT,OTHER_COUNTRIES.1_1_1,OTHER_COUNTRIES.1_2_TEXT,OTHER_COUNTRIES.1_2_1,OTHER_COUNTRIES.1_3_TEXT,OTHER_COUNTRIES.1_3_1,OTHER_COUNTRIES.1_4_TEXT,OTHER_COUNTRIES.1_4_1,OTHER_COUNTRIES.1_5_TEXT,OTHER_COUNTRIES.1_5_1,OTHER_COUNTRIES.1_6_TEXT,OTHER_COUNTRIES.1_6_1,OTHER_COUNTRIES.1_7_TEXT,OTHER_COUNTRIES.1_7_1,OTHER_COUNTRIES.1_8_TEXT,OTHER_COUNTRIES.1_8_1,FIRST_LANGUAGE,FIRST_LANGUAGE_2_TEXT,OTHER_LANGUAGES,OCCUPATION,HH_INCOME,COVSCRN01,COVSCRN02_P,COVSCRN03,EXPGRP_TEXT,CHIN_SPECIFIC_TEXT,CONTINENT_BORN_TEXT_1,CONTINENT_BORN_TEXT_2,CONTINENT_BORN_TEXT_3,HAS_LIVED_USA,HH_INCOME_TEXT,DOB_YEAR,DOB_YEAR_PERIODE,EDUCATION_1_TEXT,SEX_TEXT,demo_class,X.2,AMBI_BIG5_Neuroticism,AMBI_BIG5_Extraversion,AMBI_BIG5_Openness,AMBI_BIG5_Agreeableness,AMBI_BIG5_Conscientiousness,covmis_att_flu,covmis_att_afrDie,covmis_att_eldrNoBgDl,covmis_att_rareNoWorr,covmis_att_bgThrt,covmis_cnsp_ctiusAsian,covmis_cnsp_stpCovStpImmi,covmis_cnsp_redIntWthChina,covmis_cnsp_chnsCovRcst,covmis_orgn_covPlnnd,covmis_orgn_covNat,covmis_orgn_covNgeenLab,covmis_orgn_scntFkNwsCov,covmis_pltc_polBgDlIntrst,covmis_pltc_covNtSerPolSay,covmis_pltc_polDwnplCovPlpLDngr,covmis_cvrg_mdiaCovBgrDl,covmis_cvrg_nwsGdJbComCov,covmis_cvrg_mdiaUseCovMkTrmpRepLkBd,covmis_anti_frGovUseCovMndtVacc,covmis_anti_thnksNoCovVacc,covmis_anti_covVacEffRedVirus,covmis_mdsk_medOrgUntrust,covmis_mdsk_skeptInfoDocSci,covmis_mdsk_medOrgRecBstInt,covmis_mdsk_fllwRecMedOrgImp,cov_class,covqual_class,age_education,neuroticism_qual,extraversion_qual,openness_qual,conscientiousness_qual,agreeableness_qual,covqual_class_2,EDUCATION_2_TEXT,DOB_AGE_BRACKET,HH_INCOME_TEXT2,CovidSkepticism,CovidSkepticism2,CovidSkepticism2norm,ID
191,191,191,191,190,192,6/4/2020 17:47,6/4/2020 18:42,0,46.109.138.33,100,3299,1,6/4/2020 18:42,R_3PYbEzud5fLzYv1,NA,NA,NA,NA,56.95599365,23.75160217,anonymous,EN,0.9,5ea6e7203f70fe0719fa86f6,1,1,NA,,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,-99,Tatar,-99,-99,10,8,96,1,-99,2,2,2,2,LATVIA,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Latvian,"English, Russian",IT,2,3,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"$10,000 to $30,000",1996,"(1995,2005]",High school graduate,Male,7,191,1.07034720470363,-1.31935781088791,0.491635712365534,-0.966483551368489,-2.53235590540153,4,6,2,1,1,1,1,2,5,2,2,2,1,4,4,1,4,2,4,1,1,1,2,1,2,2,3,1,-25y_No college degree,high,weak,high,weak,middle,Believers,No college degree,-25y,"Less than $30,000",21.8449939132669,26.42242469115,3.71697828329655,191
192,192,192,192,191,193,6/4/2020 17:42,6/4/2020 18:43,0,31.11.129.156,100,3659,1,6/4/2020 18:43,R_1Oxk0ijblyt8Eke,NA,NA,NA,NA,51.10429382,17.03349304,anonymous,EN,0.9,5e85f262b6f7030624703399,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,12,98,2,-99,2,1,3,2,POLAND,22.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Polish,-99,student,2,3,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"$10,000 to $30,000",1998,"(1995,2005]",High school graduate,Female,7,192,0.915653603049105,0.539560296225765,0.0318851761431074,0.266899274218652,-0.4405874554893,2,2,3,2,3,2,4,4,3,1,3,1,3,4,2,1,4,3,2,5,3,3,3,4,3,2,2,2,-25y_No college degree,high,middle,middle,middle,middle,Believers,No college degree,-25y,"Less than $30,000",30.4283071000552,27.6367717778367,3.78455749391197,192
193,193,193,193,192,194,6/4/2020 18:18,6/4/2020 18:43,0,32.216.252.71,100,1517,1,6/4/2020 18:43,R_1JWvJFL6xxRue1Z,NA,NA,NA,NA,41.55569458,-72.66320038,anonymous,EN,0.9,5dcfc4a09595a10cd3ef3e59,1,2,4,-99,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,27,100,2,-99,2,2,2,1,-99,20,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,Cantonese,Student,4,3,NA,NA,Chinese,Hongkongese,USA,USA,USA,TRUE,"$50,000 to $70,000",2000,"(1995,2005]",High school graduate,Female,2,193,0.40339933925347,1.08288997192421,1.39182805625249,1.04487234040414,-0.273585495612618,1,2,1,1,2,1,3,3,3,2,2,2,2,2,2,1,2,3,2,1,1,1,4,2,3,2,2,1,-25y_No college degree,middle,middle,high,middle,high,Believers,No college degree,-25y,"$30,000 to $70,000",16.7327052179483,11.1559706725184,2.63047979921803,193
194,194,194,194,193,195,6/4/2020 17:27,6/4/2020 18:43,0,148.71.159.95,100,4574,1,6/4/2020 18:43,R_2ZV60pPMXCmwZfI,NA,NA,NA,NA,40.84100342,-8.475601196,anonymous,EN,0.9,5eaf07c913f83a5ed064356e,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10,25,94,1,-99,6,2,1,2,PORTUGAL,25,NETHERLANDS,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Portuguese,"English, Spanish",Tourism Guide,1,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"Less than $10,000",1994,"(1985,1995]",Master's degree,Male,6,194,0.796769682833451,0.183917843706825,0.484487835869707,0.0884943496898406,-1.00751275115491,1,5,1,1,3,1,2,1,3,1,1,2,1,5,2,2,5,3,2,1,1,1,2,2,2,2,3,1,25 - 45y_Graduate degree,high,middle,high,middle,middle,Believers,Graduate degree,25 - 35y,"Less than $30,000",17.8452598453191,21.4927145827604,3.42159898839313,194
195,195,195,195,194,196,6/4/2020 18:23,6/4/2020 18:43,0,68.196.41.79,100,1200,1,6/4/2020 18:43,R_3CZZBgM0vLHKMnQ,NA,NA,NA,NA,40.61790466,-73.98560333,anonymous,EN,0.9,5dd9d8c07af66197bd21b910,1,2,1,-99,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,12,20,95,2,-99,7,6,6,1,-99,25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,cantonese,physical therapist,5,3,NA,NA,Chinese,Mainland Chinese,USA,USA,USA,TRUE,"$70,000 to $100,000",1995,"(1985,1995]",Doctoral degree,Female,1,195,-0.23288924835129,0.365723750941981,-1.15556527420579,-0.655317285411444,-0.423611538258363,1,1,1,1,3,1,1,1,2,1,3,2,3,4,2,1,4,5,5,1,1,2,2,2,2,2,2,1,25 - 45y_Graduate degree,middle,middle,middle,middle,middle,Believers,Graduate degree,25 - 35y,"$70,000 or more",19.8225441918998,23.2331529039285,3.5301176340161,195
196,196,196,196,195,197,6/4/2020 17:33,6/4/2020 18:44,0,164.160.121.71,100,4246,1,6/4/2020 18:44,R_UA2hHvb9cXnyGCl,NA,NA,NA,NA,-29.85560608,31.04490662,anonymous,EN,0.9,5e9484e616b8107cd9f0dca7,1,1,NA,,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,-99,-99,-99,-99,10,30,86,2,-99,2,1,1,2,SOUTH AFRICA,34.5,SOUTH AFRICA,0,NONE,0,SOUTH AFRICA,0,SOUTH AFRICA,0,SOUTH AFRICA,0,SOUTH AFRICA,0,SOUTH AFRICA,0,SOUTH AFRICA,0,2,Afrikaans,Afrikaans,Business owner,2,3,NA,NA,White,NA,Africa,Africa,Southern Country (Poorer),FALSE,"$10,000 to $30,000",1986,"(1985,1995]",High school graduate,Female,6,196,1.82923349192176,0.650433141785217,-0.271085151331267,-0.655539312586504,0.587989635988955,6,1,1,2,3,4,2,3,2,4,3,4,4,4,4,3,4,2,2,5,4,3,4,5,3,3,4,2,25 - 45y_No college degree,high,middle,middle,middle,middle,Believers,No college degree,25 - 35y,"Less than $30,000",40.4631220150874,40.2749954419978,4.40144737207995,196
197,197,197,197,196,198,6/4/2020 18:15,6/4/2020 18:44,0,108.5.136.29,100,1752,1,6/4/2020 18:44,R_3MagsVtjkBrXAb7,NA,NA,NA,NA,40.70210266,-74.4048996,anonymous,EN,0.9,5ec441b77b846b31db2d328a,1,2,1,-99,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,-99,-99,-99,-99,2,16,101,2,-99,3,6,6,1,-99,20,CHINA,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,"Chinese, Spanish",Student,6,3,NA,NA,Chinese,Mainland Chinese,USA,USA,USA,TRUE,"$100,000 to $200,000",2001,"(1995,2005]",Some college but no degree,Female,2,197,0.719762831536248,-0.168236877936516,1.14815399273063,-0.154126965456233,-1.41089222552251,6,4,1,1,1,1,2,2,1,3,1,1,1,6,1,1,2,3,6,1,1,1,1,1,1,1,3,1,-25y_No college degree,high,middle,high,weak,middle,Believers,No college degree,-25y,"$70,000 or more",15.6337102137047,22.9517496923028,3.5129099950571,197
198,198,198,198,197,199,6/4/2020 17:44,6/4/2020 18:45,0,89.64.181.172,100,3623,1,6/4/2020 18:45,R_1IErPnW6NKtcdHN,NA,NA,NA,NA,54.36149597,18.66259766,anonymous,EN,0.9,5e94cb92f8e158837cbcbaa7,1,1,NA,,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,-99,-99,-99,-99,6,30,100,1,-99,2,1,1,2,POLAND,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Polish,"Polish, English",Chef,2,3,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"$10,000 to $30,000",2000,"(1995,2005]",High school graduate,Male,7,198,1.00090235784483,-0.311502195111671,-1.23044934691473,-1.74659565416069,-1.92912090653722,1,3,4,1,2,2,4,3,1,1,4,3,3,4,2,2,2,3,2,1,1,1,2,1,5,2,2,1,-25y_No college degree,high,middle,middle,weak,weak,Believers,No college degree,-25y,"Less than $30,000",21.2093136109154,20.4235003212715,3.35229969339557,198
199,199,199,199,198,200,6/4/2020 18:18,6/4/2020 18:45,0,70.176.95.165,100,1632,1,6/4/2020 18:45,R_1Sn6JAJaJy4svHH,NA,NA,NA,NA,33.60690308,-112.2822037,anonymous,EN,0.9,5ebef33979146d2b2510b642,1,2,1,-99,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,-99,-99,-99,-99,1,27,99,1,-99,5,5,5,1,-99,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,"English, Chinese (mandarin)",Financial consultant,6,3,NA,NA,Chinese,Mainland Chinese,USA,USA,USA,TRUE,"$100,000 to $200,000",1999,"(1995,2005]",Bachelor's degree in college,Male,2,199,0.344615761419926,0.376818545552435,-0.735265369019994,-0.186809691836685,-0.278587653519645,2,5,1,4,2,1,2,3,6,1,2,3,4,3,4,3,4,1,4,1,1,3,6,1,1,1,3,2,-25y_College degree,middle,middle,middle,middle,middle,Believers,College degree,-25y,"$70,000 or more",29.7332046252142,31.1478361901861,3.9704753866885,199
200,200,200,200,199,201,6/4/2020 17:39,6/4/2020 18:45,0,83.9.173.21,100,3956,1,6/4/2020 18:45,R_TeaFGDTW4yQax57,NA,NA,NA,NA,53.76359558,20.42970276,anonymous,EN,0.9,5bad16e32259980001c83d8f,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,29,84,2,-99,2,2,2,2,POLAND,37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,polish,english,cleaning in kindergarten,3,2,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"$30,000 to $50,000",1984,"(1975,1985]",High school graduate,Female,6,200,0.227023594473041,0.236691382166246,-0.974376039828521,-0.442691862389872,-0.614708127263372,3,3,3,3,3,2,4,4,2,2,3,2,4,4,3,3,4,3,3,4,4,4,3,3,3,3,4,2,25 - 45y_No college degree,middle,middle,middle,middle,middle,Believers,No college degree,35 - 45y,"$30,000 to $70,000",36.5772152330582,37.8794937424931,4.29454088913101,200
201,201,201,201,200,202,6/4/2020 18:27,6/4/2020 18:45,0,107.184.1.41,100,1098,1,6/4/2020 18:45,R_cvdH7h8IlIPO4cp,NA,NA,NA,NA,33.67500305,-118.0027008,anonymous,EN,0.9,5eb10e1b6e2f921d6d6567dd,1,2,2,-99,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,1,97,1,-99,5,5,5,1,-99,21,TAIWAN,2,SOUTH AFRICA,0.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,Chinese,Student,3,3,NA,NA,Chinese,Taiwanese,USA,USA,USA,TRUE,"$30,000 to $50,000",1997,"(1995,2005]",Bachelor's degree in college,Male,2,201,-0.134211436112893,0.448472470219272,0.955259488816297,0.195534169198359,1.14112455834434,1,4,1,1,1,1,4,4,2,1,1,2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,-25y_College degree,middle,middle,high,high,middle,Believers,College degree,-25y,"$30,000 to $70,000",10.4954342659522,10.7452565990665,2.59121048318712,201
202,202,202,202,201,203,6/4/2020 17:50,6/4/2020 18:46,0,83.9.237.59,100,3360,1,6/4/2020 18:46,R_246ljMMJPOMf7f6,NA,NA,NA,NA,50.50100708,21.53619385,anonymous,EN,0.9,5e4b2a1a6a0c8403b9f8938e,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,21,99,1,-99,2,2,2,2,POLAND,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Polish,English,unemployed,1,3,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"Less than $10,000",1999,"(1995,2005]",High school graduate,Male,7,202,0.620678809165777,-0.912336678870083,-0.356687866205699,-1.12962688547965,-1.38906071579884,4,5,3,3,2,1,2,3,5,2,3,3,4,4,4,3,4,5,3,4,3,4,5,4,4,4,4,2,-25y_No college degree,middle,middle,middle,weak,middle,Believers,No college degree,-25y,"Less than $30,000",43.2142949553136,41.8945839398943,4.47158340188577,202
203,203,203,203,202,204,6/4/2020 18:17,6/4/2020 18:47,0,71.94.128.201,100,1817,1,6/4/2020 18:47,R_3mw2jw3vtbrsioF,NA,NA,NA,NA,34.06480408,-118.0859985,anonymous,EN,0.9,5ec68ab50b73c1086a75adc6,1,2,1,-99,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,5,94,2,-99,6,5,5,2,CHINA,9,USA,9,CHINA,18,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Chinese,-99,Education consulting,4,2,NA,NA,Chinese,Mainland Chinese,Developping Asia,Asia,Southern Country (Poorer),TRUE,"$50,000 to $70,000",1994,"(1985,1995]",Master's degree,Female,3,203,0.556113815369648,-0.156678615265697,0.110018176641171,-0.0393953666040413,-0.137029872535699,1,2,2,1,6,1,1,1,1,1,3,1,1,1,1,1,1,3,1,2,1,2,2,1,2,2,1,1,25 - 45y_Graduate degree,middle,middle,middle,middle,middle,Believers,Graduate degree,25 - 35y,"$30,000 to $70,000",8.79294279127456,8.81229974598631,2.39313294465532,203
204,204,204,204,203,205,6/4/2020 17:50,6/4/2020 18:47,0,85.247.39.69,100,3452,1,6/4/2020 18:48,R_2zu6zWZYkI6L5Ra,NA,NA,NA,NA,38.82189941,-9.094604492,anonymous,EN,0.9,5d9b15c42cf55a0322de7655,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10,17,97,2,-99,5,1,1,2,PORTUGAL,23,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Portuguese,"English, Spanish",Environmental Engineer,2,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$10,000 to $30,000",1997,"(1995,2005]",Bachelor's degree in college,Female,6,204,-0.882984051051634,1.57264337901177,0.94868830922838,1.75116784423203,2.24472955443408,2,5,1,1,6,1,2,1,1,1,1,1,1,5,1,1,5,1,6,1,1,1,1,1,1,1,3,1,-25y_College degree,middle,high,high,high,high,Believers,College degree,-25y,"Less than $30,000",15.6497002163764,24.7013081398551,3.61792964469527,204
205,205,205,205,204,206,6/4/2020 17:48,6/4/2020 18:48,0,176.230.224.241,100,3557,1,6/4/2020 18:48,R_6EWvPdJ4v12Bt1D,NA,NA,NA,NA,31.89430237,34.81919861,anonymous,EN,0.9,5c0ed000fd0c0a0001f881ea,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,4,79,2,-99,7,6,6,2,USSR,15,ISRAEL,24,SWITZERLAND,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Russian,"English, Hebrew, French",Polymer researcher,5,3,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"$70,000 to $100,000",1979,"(1975,1985]",Doctoral degree,Female,6,205,-0.414016239487287,0.713562440846877,0.989702032057964,-0.102040909610841,1.1297005299989,2,5,1,1,1,1,1,1,1,2,2,2,1,5,1,1,2,1,4,3,1,2,3,1,3,2,3,1,25 - 45y_Graduate degree,middle,middle,high,high,middle,Believers,Graduate degree,35 - 45y,"$70,000 or more",16.952127449145,19.4859816824527,3.28972485776296,205
206,206,206,206,205,207,6/4/2020 18:25,6/4/2020 18:48,0,73.103.12.36,100,1337,1,6/4/2020 18:48,R_3Gp4vYwer2YI4nA,NA,NA,NA,NA,40.39900208,-86.85749817,anonymous,EN,0.9,5d82d28977546f00166ae702,1,2,2,-99,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,11,88,2,-99,6,6,7,1,-99,32,CHILE,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,"Mandarin, Spanish",PhD student,2,3,NA,NA,Chinese,Taiwanese,USA,USA,USA,TRUE,"$10,000 to $30,000",1988,"(1985,1995]",Master's degree,Female,1,206,-0.0362024198410423,-1.8963393032012,1.52345312861516,0.858900963219682,-0.0264813716197253,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,25 - 45y_Graduate degree,middle,weak,high,middle,high,Believers,Graduate degree,25 - 35y,"Less than $30,000",3.88615866215589,2.9587203226908,1.54491897397533,206
207,207,207,207,206,208,6/4/2020 18:00,6/4/2020 18:49,0,172.58.107.187,100,2930,1,6/4/2020 18:49,R_3m8Zn86yXxJPdp8,NA,NA,NA,NA,32.78359985,-96.86740112,anonymous,EN,0.9,5d6cef4276cca6001666d86d,1,2,6,vietnamese,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,-99,vietnamese,-99,-99,3,15,92,1,-99,4,2,4,1,-99,29,USA,29,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,"vietnamese, chinese",manager,7,3,NA,NA,Chinese,Other,USA,USA,USA,TRUE,"$200,000 to $500,000",1992,"(1985,1995]",Associate degree in college,Male,2,207,0.320192830994656,0.437900868582205,0.0406472160084216,-1.11679097222389,-0.041568694944691,3,4,2,2,2,3,3,3,3,2,3,4,3,3,3,1,2,3,3,4,2,3,2,4,3,3,2,2,25 - 45y_College degree,middle,middle,middle,middle,middle,Believers,College degree,25 - 35y,"$70,000 or more",30.5169337081661,28.4829161011473,3.83060054606728,207
208,208,208,208,207,209,6/4/2020 18:18,6/4/2020 18:50,0,209.6.206.94,100,1885,1,6/4/2020 18:50,R_10UgLprmt49yUTZ,NA,NA,NA,NA,42.37969971,-71.10340118,anonymous,EN,0.9,5ec9c63eee4ab64e55a16e4a,1,2,1,-99,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,93,2,-99,5,5,7,2,CHINA,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Mandarin,"English, German",Data Analyst,4,3,NA,NA,Chinese,Mainland Chinese,Developping Asia,Asia,Southern Country (Poorer),FALSE,"$50,000 to $70,000",1993,"(1985,1995]",Bachelor's degree in college,Female,3,208,-0.244486327529501,-0.976185785365484,0.241241361733671,-0.312047352069406,0.264998528897079,1,5,1,1,3,1,2,1,1,1,1,2,1,4,1,1,1,2,1,1,1,2,1,1,1,1,1,1,25 - 45y_College degree,middle,weak,middle,middle,middle,Believers,College degree,25 - 35y,"$30,000 to $70,000",6.96393973189852,10.334451209088,2.55102235341224,208
209,209,209,209,208,210,6/4/2020 17:49,6/4/2020 18:50,0,151.18.215.38,100,3681,1,6/4/2020 18:50,R_bpUCWaYlNzama41,NA,NA,NA,NA,45.47070313,9.188903809,anonymous,EN,0.9,5eab0ffdc1324e0bd57776c6,1,1,NA,,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,-99,-99,-99,-99,10,27,73,2,-99,2,1,1,2,ITALY,47,ITALY,47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Italian,English,Private company employee,2,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$10,000 to $30,000",1973,"(1965,1975]",High school graduate,Female,6,209,-2.12467757167065,2.16296277085848,0.421127751753316,-0.130119871775852,1.49587459776475,1,3,1,1,6,1,4,2,3,4,4,5,1,4,1,1,1,3,3,4,3,4,1,1,1,1,2,2,+45y_No college degree,weak,high,high,high,middle,Believers,No college degree,+45y,"Less than $30,000",24.1645740370658,27.3773348748474,3.77027140376271,209
210,210,210,210,209,211,6/4/2020 17:44,6/4/2020 18:50,0,87.99.121.6,100,3979,1,6/4/2020 18:50,R_2TMMXXymqOKvBK0,NA,NA,NA,NA,50.29249573,18.91470337,anonymous,EN,0.9,5e96e112399961000a388e2b,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,11,103,1,-99,1,5,5,2,POLAND,18,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Polish,English,Musician,1,3,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"Less than $10,000",2003,"(1995,2005]",Less than high school degree,Male,7,210,0.0660158113778657,1.32471860406765,0.81977766638971294,-0.0814513783474469,-1.82713599806072,1,5,1,1,1,1,6,6,6,1,3,2,1,6,4,1,3,3,1,3,1,1,2,1,3,2,2,2,-25y_No college degree,middle,high,high,weak,middle,Believers,No college degree,-25y,"Less than $30,000",25.8549910577312,22.612800448481,3.49201481351553,210
211,211,211,211,210,212,6/4/2020 17:49,6/4/2020 18:53,0,95.92.38.41,100,3847,1,6/4/2020 18:53,R_ALKAPmyfSrUwkcp,NA,NA,NA,NA,37.12730408,-7.648605347,anonymous,EN,0.9,5d25fd6e062efa0001833f04,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,29,92,1,-99,5,2,5,2,BRAZIL,27,ITALY,0.5,PORTUGAL,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Portuguese,English,Student,1,3,NA,NA,White,NA,South America,America,Southern Country (Poorer),FALSE,"Less than $10,000",1992,"(1985,1995]",Bachelor's degree in college,Male,7,211,0.407929706545233,0.825282714228098,1.86020010440623,1.16434567029999,0.698266901584932,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25 - 45y_College degree,middle,middle,high,high,high,Believers,College degree,25 - 35y,"Less than $30,000",1.00509990751442,1.40729918076464,1.14683454749567,211
212,212,212,212,211,213,6/4/2020 18:06,6/4/2020 18:53,0,184.170.167.133,100,2845,1,6/4/2020 18:53,R_2SHtMb1uRppwu1f,NA,NA,NA,NA,39.97140503,-86.12950134,anonymous,EN,0.9,5e9573bb9142813e46124755,1,2,1,-99,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,-99,-99,-99,-99,10,30,102,1,-99,2,6,6,1,-99,18,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,Chinese,Student,7,3,NA,NA,Chinese,Mainland Chinese,USA,USA,USA,TRUE,"$200,000 to $500,000",2002,"(1995,2005]",High school graduate,Male,2,212,0.36935380943967,-0.930387624238426,-1.14839010714195,-0.604510253244737,-2.68968029826633,1,5,1,1,3,1,1,1,2,1,4,1,1,2,1,2,1,4,1,1,1,1,2,3,3,3,1,1,-25y_No college degree,middle,weak,middle,weak,middle,Believers,No college degree,-25y,"$70,000 or more",12.5878267729935,9.88987011181361,2.50643656162831,212
