"","Loc_adresse_formated","Loc_country","Loc_state","Loc_county","Loc_city"
"46","Avenida Doutor Manuel Gaspar de Lemos, 3081-997 Figueira da Foz, Portugal","Portugal","Coimbra","Figueira da Foz","Avenida Doutor Manuel Gaspar de Lemos, 3081-997 Figueira da Foz, Portugal"
"47","Dąbska 4, 62-650 Kłodawa, Poland","Poland","Greater Poland Voivodeship","Koło County","Kłodawa"
"48","Eugeniusza Romera 75A, 20-487 Lublin, Poland","Poland","Lublin Voivodeship","Lublin","Eugeniusza Romera 75A, 20-487 Lublin, Poland"
"49","Herbert & Herbert Pharmacy, 88 High Street, Clapham, MK41 6BW, United Kingdom","United Kingdom","England","Bedfordshire","Clapham"
"50","Δ/νση Πολιτικής Προστασίας ΠΑΜΘ, Φιλίππου 82, 691 00 East Macedonia and Thrace, Greece","Greece","East Macedonia and Thrace","Δ/νση Πολιτικής Προστασίας ΠΑΜΘ, Φιλίππου 82, 691 00 East Macedonia and Thrace, Greece","Greece"
"51","River Yare, Marlingford and Colton, United Kingdom","United Kingdom","England","Norfolk","Marlingford and Colton"
"52","Χαριλάου Τρικούπη 35, 106 81 Athens, Greece","Greece","Attica","Regional Unit of Central Athens","Athens"
"53","Medvědárium, Pod Zámkem, 272 01 Kladno, Czechia","Czechia","Central Bohemia","Kladno","Medvědárium, Pod Zámkem, 272 01 Kladno, Czechia"
"54","4088 Falls Ridge Drive, Alpharetta, GA 30022, United States of America","United States","Georgia","Fulton County","Alpharetta"
"55","Henryka Sienkiewicza 20, 64-300 Gmina Nowy Tomyśl, Poland","Poland","Greater Poland","Nowy Tomyśl","Gmina Nowy Tomyśl"
"56","Garažna hiša Kongresni trg, Slovenska cesta, 1102 Ljubljana, Slovenia","Slovenia","Ljubljana","Garažna hiša Kongresni trg, Slovenska cesta, 1102 Ljubljana, Slovenia","Slovenia"
"57","Πλατεία, Φιλίππου, 546 35 Thessaloniki Municipal Unit, Greece","Greece","Macedonia and Thrace","Thessaloniki Regional Unit","Thessaloniki Municipal Unit"
"58","Norra Vallgatan 66, 211 22 Malmo, Sweden","Sweden","Scania","Malmo","Malmo"
"59","Lg Cruzeiro 40, 4590-204 Figueiró, Portugal","Portugal","Porto","Figueiró","Lg Cruzeiro 40, 4590-204 Figueiró, Portugal"
"60","Woodchurch, Upton, North West England, ENG, United Kingdom","United Kingdom","England","North West England","Upton"
"61","Themsvej 20, 8240 Aarhus, Denmark","Denmark","Central Jutland","Aarhus","Themsvej 20, 8240 Aarhus, Denmark"
"62","1 Rugby Road, Belfast, United Kingdom","United Kingdom","Northern Ireland","Belfast","Belfast"
"63","Rzeźnicka 22, 32-700 Bochnia, Poland","Poland","Lesser Poland Voivodeship","Bochnia County","Bochnia"
"64","Tyskie Browary Książęce, Mikołowska 17, 43-100 Tychy, Poland","Poland","Silesian Voivodeship","Górnośląsko-Zagłębiowska Metropolia","Tychy"
"65","Zabłocie 27, 30-701 Krakow, Poland","Poland","Lesser Poland Voivodeship","Krakow","Zabłocie 27, 30-701 Krakow, Poland"
"66","Calle la Mezquita, 20620 Alhaurín de la Torre, Spain","Spain","Andalusia","Valle del Guadalhorce","Alhaurín de la Torre"
"67","Slug and Lettuce, 1 Low Ousegate, York, YO1 9QU, United Kingdom","United Kingdom","England","North Yorkshire","York"
"68","Kunszentmárton, Szent István király utca, 5440, Hungary","Hungary","Great Plain and North","Jász-Nagykun-Szolnok","Kunszentmárton"
"69","Bolesława Chrobrego 9, 40-881 Katowice, Poland","Poland","Silesian Voivodeship","Górnośląsko-Zagłębiowska Metropolia","Katowice"
"70","Most średnicowy, Wybrzeże Szczecińskie, 03-724 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"71","4038 Pickford Way, Modesto, CA 95356, United States of America","United States","California","Stanislaus County","Modesto"
"72","17A Everton Terrace, Kelburn, New Zealand","New Zealand","Wellington Region","Wellington City","Kelburn"
"73","Łanowa 52, 80-777 Gdansk, Poland","Poland","Pomorskie","Gdańsk","Gdansk"
"74","Common Lane, South Staffordshire, ST17 0SB, United Kingdom","United Kingdom","England","Staffordshire","South Staffordshire"
"75","Wita Stwosza 7, 40-040 Katowice, Poland","Poland","Silesian Voivodeship","Górnośląsko-Zagłębiowska Metropolia","Katowice"
"76","Marczukowska 8, 15-724 Bialystok, Poland","Poland","Podlaskie","Białystok","Bialystok"
"77","R Senhora Do Postigo 14, 3500-200 Viseu, Portugal","Portugal","Viseu","Viseu","R Senhora Do Postigo 14, 3500-200 Viseu, Portugal"
"78","Włóczka, Świętokrzyska 30, 00-116 Warsaw, Poland","Poland","Mazowieckie","Warszawa","Warsaw"
"79","Aqua Neroniana, Piazza di Porta Maggiore, 00185 Rome RM, Italy","Italy","Lazio","Roma Capitale","Rome"
"80","Korty, Aleja Kasztanowa, 02-796 Warsaw, Poland","Poland","Masovian Voivodeship","Warsaw","Korty, Aleja Kasztanowa, 02-796 Warsaw, Poland"
"81","R D Leonor De Freitas 4, 4400-123 Vila Nova de Gaia, Portugal","Portugal","Porto","Vila Nova de Gaia","R D Leonor De Freitas 4, 4400-123 Vila Nova de Gaia, Portugal"
"82","42032 Pyli Municipality, Greece","Greece","Thessaly and Central Greece","Trikala Regional Unit","Pyli Municipality"
"83","Most średnicowy, Wybrzeże Szczecińskie, 03-724 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"84","Clark Ádám tér, Budapest, 1011, Hungary","Hungary","Central Hungary","Budapest","Budapest"
"85","Plaza del Ángel, 6, 28012 Madrid, Spain","Spain","Community of Madrid","Madrid","Plaza del Ángel, 6, 28012 Madrid, Spain"
"86","Hillside Health Centre, Tanhouse Road, Skelmersdale, United Kingdom","United Kingdom","England","Lancashire","Skelmersdale"
"87","Szeged, Széchenyi tér, 6720, Hungary","Hungary","Southern Great Plain","Csongrád-Csanád County","Szeged"
"88","Χαριλάου Τρικούπη 35, 106 81 Athens, Greece","Greece","Attica","Regional Unit of Central Athens","Athens"
"89","Most średnicowy, Wybrzeże Szczecińskie, 03-724 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"90","Cardiff Castle and Roman Fort, Kingsway, Cardiff, CF, United Kingdom","United Kingdom","Wales","Cardiff","Cardiff"
"91","Gyömrő, József Attila utca 33, 2230, Hungary","Hungary","Central Hungary","Pest","Gyömrő"
"92","Centralne Muzeum Włókiennictwa, Piotrkowska 282/284, 90-361 Łódź, Poland","Poland","Łódź Voivodeship","Łódź","Centralne Muzeum Włókiennictwa, Piotrkowska 282/284, 90-361 Łódź, Poland"
"93","Centro Comercial Dom Dinis, Rua de Santo António, 5000-643 Vila Real, Portugal","Portugal","Vila Real","Vila Real","Centro Comercial Dom Dinis, Rua de Santo António, 5000-643 Vila Real, Portugal"
"94","Świętojerska 24, 00-202 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"95","39 Bibury Avenue, Nelson Mandela Bay, Gqeberha, South Africa","South Africa","Eastern Cape","Nelson Mandela Bay","Gqeberha"
"96","Černokostelecká 1180/98, 100 00 Prague, Czechia","Czechia","Prague","Prague","Černokostelecká 1180/98, 100 00 Prague, Czechia"
"97","Club Football Estrela da Amadora, Avenida Doutor José Pontes, 2720-228 Amadora, Portugal","Portugal","Lisbon","Amadora","Club Football Estrela da Amadora, Avenida Doutor José Pontes, 2720-228 Amadora, Portugal"
"98","Χαριλάου Τρικούπη 35, 106 81 Athens, Greece","Greece","Attica","Regional Unit of Central Athens","Athens"
"99","16 Market Street, Cheltenham, GL50 3QN, United Kingdom","United Kingdom","England","Gloucestershire","Cheltenham"
"100","Jardim 5 de Outubro, Praça 5 de Outubro, 2870-273 Montijo, Portugal","Portugal","Setúbal","Montijo","Jardim 5 de Outubro, Praça 5 de Outubro, 2870-273 Montijo, Portugal"
"101","Carrer d'Aragó, 08001 Barcelona, Spain","Spain","Catalonia","Barcelona","Barcelona"
"102","Mill Dam, Kirkby, United Kingdom","United Kingdom","England","Merseyside","Kirkby"
"103","Santa Lucia, Wettingerstrasse 29, 5400 Baden, Switzerland","Switzerland","Aargau","Bezirk Baden","Baden"
"104","Manor Floods Local Nature Reserve, Mason Road, Erewash, DE7 9LP, United Kingdom","United Kingdom","England","Derbyshire","Erewash"
"105","Pizzarte, Rua Engenheiro Von Haff 27, 3800-177 Aveiro, Portugal","Portugal","Aveiro","Aveiro","Aveiro"
"106","Żabia Ścieżka 6, 50-422 Wrocław, Poland","Poland","dolnoslaskie","Wrocław","Wrocław"
"107","Wolności, 41-800 Zabrze, Poland","Poland","Silesian Voivodeship","Górnośląsko-Zagłębiowska Metropolia","Zabrze"
"108","Johannes Huslaan 22, 1216 RB Hilversum, Netherlands","Netherlands","North Holland","Hilversum","Johannes Huslaan 22, 1216 RB Hilversum, Netherlands"
"109","Garažna hiša Kongresni trg, Slovenska cesta, 1102 Ljubljana, Slovenia","Slovenia","Ljubljana","Garažna hiša Kongresni trg, Slovenska cesta, 1102 Ljubljana, Slovenia","Slovenia"
"110","Park Square, Sheffield, S2 5AY, United Kingdom","United Kingdom","England","South Yorkshire","Sheffield"
"111","Karlova sadam, Rebase, 50104 Tartu, Estonia","Estonia","Tartu","Tartu maakond","Tartu"
"112","Av Pedro Álvares Cabral 29, 7005-175 Evora, Portugal","Portugal","Évora","Evora","Av Pedro Álvares Cabral 29, 7005-175 Evora, Portugal"
"113","Avenida dos Aliados, 4000-067 Porto, Portugal","Portugal","Porto","Porto","Porto"
"114","Lieutenant Colonel John By, South Bank, London, ENG, United Kingdom","United Kingdom","England","Greater London","London"
"115","Avenida dos Aliados, 4000-067 Porto, Portugal","Portugal","Porto","Porto","Porto"
"116","Complexo de Ténis da Maia, Avenida Luís de Camões, 4470-233 Cidade da Maia, Portugal","Portugal","Porto","Porto","Cidade da Maia"
"117","Fábafém Ipari és Kereskedelmi Kft, Mezőberény, Békési út 42, 5650, Hungary","Hungary","Southern Great Plain","Bekes","Mezőberény"
"118","Av Buhaira La, S/N, 41018 Seville, Spain","Spain","Andalusia","Seville","Seville"
"119","Świętojerska 24, 00-202 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"120","Πλατεία, Φιλίππου, 546 35 Thessaloniki Municipal Unit, Greece","Greece","Macedonia and Thrace","Thessaloniki Regional Unit","Thessaloniki Municipal Unit"
"121","Nooruse 49, 93816 Kuressaare, Estonia","Estonia","Saare","Saaremaa","Kuressaare"
"122","Wexler-Grant Community School, 55 Foote Street, New Haven, CT 06511, United States of America","United States","Connecticut","New Haven County","New Haven"
"123","1936 East Alto Lane, Fullerton, CA 92831, United States of America","United States","California","Orange County","Fullerton"
"124","Grób rodziny Skornickich 1898, Dworcowa 36a, 62-045 Pniewy, Poland","Poland","Greater Poland Voivodeship","Szamotuły County","Pniewy"
"125","R Judite Sobral Garrido 3, 2615-118 Alverca do Ribatejo, Portugal","Portugal","Lisbon","Alverca do Ribatejo","R Judite Sobral Garrido 3, 2615-118 Alverca do Ribatejo, Portugal"
"126","St Peter's RC School, Belle Vue Crescent, Wick, BH6 4AH, United Kingdom","United Kingdom","England","Bournemouth, Christchurch and Poole","Wick"
"127","R Pulido Valente 22, 2675-672 Serra da Luz, Portugal","Portugal","Lisbon","Serra da Luz","R Pulido Valente 22, 2675-672 Serra da Luz, Portugal"
"128","Eugeniusza Kwiatkowskiego 28c, 40-824 Katowice, Poland","Poland","Silesian Voivodeship","Katowice","Katowice"
"129","4274 Red Hawk Drive Southeast, Rochester, MN 55904, United States of America","United States","Minnesota","Olmsted County","Rochester"
"130","Gabriela Narutowicza 45, 64-100 Leszno, Poland","Poland","Greater Poland","Leszczyński","Leszno"
"131","Generała Leopolda Okulickiego 1a, 32-800 Brzesko, Poland","Poland","Lesser Poland Voivodeship","Brzesko County","Brzesko"
"132","Via della Strage, 12, 06063 Magione PG, Italy","Italy","Umbria","Perugia","Magione"
"133","Forest School, 2 College Place, London, E17, United Kingdom","United Kingdom","England","Greater London","London"
"134","Χαριλάου Τρικούπη 35, 106 81 Athens, Greece","Greece","Attica","Regional Unit of Central Athens","Athens"
"135","22421 9th Avenue SE, Bothell, WA 98021, United States of America","United States","Washington","Snohomish County","Bothell"
"136","R Ramalho Ortigão 31, 4445-579 Ermesinde, Portugal","Portugal","Porto","Ermesinde","R Ramalho Ortigão 31, 4445-579 Ermesinde, Portugal"
"137","1520 Johnson Road NW, Atlanta, GA 30318, United States of America","United States","Georgia","Fulton County","Atlanta"
"138","Warszawska 7A, 62-025 Kostrzyn, Poland","Poland","Greater Poland","Poznański","Kostrzyn"
"139","R Lagares 66, 1100-297 Lisbon, Portugal","Portugal","Lisbon","Lisbon","R Lagares 66, 1100-297 Lisbon, Portugal"
"140","Estr Nacional 18, 6200-030 Covilha, Portugal","Portugal","Castelo Branco","Covilha","Estr Nacional 18, 6200-030 Covilha, Portugal"
"141","Łąkowa 23, 59-216 Grzybiany, Poland","Poland","Lower Silesian Voivodeship","Legnica County","Grzybiany"
"142","Avenida dos Aliados, 4000-067 Porto, Portugal","Portugal","Porto","Porto","Porto"
"143","Pembridge (130), 31 Princes Street, Auckland Central, New Zealand","New Zealand","Auckland Region","Auckland","Auckland Central"
"144","Mariotteplein 80, 1098 PA Amsterdam, Netherlands","Netherlands","North Holland","Amsterdam","Mariotteplein 80, 1098 PA Amsterdam, Netherlands"
"145","Natal Road Allotments, Natal Road, Brighton and Hove, United Kingdom","United Kingdom","England","East Sussex","Brighton and Hove"
"146","R Eng João Carlos Castro Reis 6, 2330-167 Entroncamento, Portugal","Portugal","Santarém","Entroncamento","R Eng João Carlos Castro Reis 6, 2330-167 Entroncamento, Portugal"
"147","Ózd Városkerti Óvodák - Alkotmány Úti Tagóvodája, Ózd, Alkotmány út 2, 3600, Hungary","Hungary","Northern Hungary","Borsod-Abaúj-Zemplén","Ózd"
"148","West Loop South, Bellaire, TX 77401, United States of America","United States","Texas","Harris County","Bellaire"
"149","Clark Ádám tér, Budapest, 1011, Hungary","Hungary","Central Hungary","Budapest","Budapest"
"150","Estr Nacional 18, 6200-030 Covilha, Portugal","Portugal","Castelo Branco","Covilha","Estr Nacional 18, 6200-030 Covilha, Portugal"
"151","Ιπποκράτειο Ιωαννίνων, Fotou Tzavella 4-10, 453 33 Ioannina, Greece","Greece","Epirus and Western Macedonia","Ioannina Regional Unit","Ioannina"
"152","Jana Matejki 2, 32-400 Myślenice, Poland","Poland","Lesser Poland Voivodeship","Myślenicki","Myślenice"
"153","Charlestown Road, Charlestown, PL25 3FA, United Kingdom","United Kingdom","England","Cornwall","Charlestown"
"154","Park Sienkiewicza, 90-009 Łódź, Poland","Poland","Łódź Voivodeship","Łódź","Łódź"
"155","1400 East Plaza Boulevard, National City, CA 91950, United States of America","United States","California","San Diego County","National City"
"156","90-105 Łódź, Poland","Poland","Łódź Voivodeship","Łódź","90-105 Łódź, Poland"
"157","Taverna Zampia, Σταμαθιουδάκη 20, 7410 Rethymno, Greece","Greece","Crete","Rethymno Regional Unit","Rethymno"
"158","R D Francisco De Almeida 5, 2860-070 Alhos Vedros, Portugal","Portugal","Setúbal District","Alhos Vedros","R D Francisco De Almeida 5, 2860-070 Alhos Vedros, Portugal"
"159","R Garcia De Orta 26 G, 2800-698 Almada, Portugal","Portugal","Setúbal District","Almada","R Garcia De Orta 26 G, 2800-698 Almada, Portugal"
"160","Černokostelecká 1180/98, 100 00 Prague, Czechia","Czechia","Prague","Prague","Černokostelecká 1180/98, 100 00 Prague, Czechia"
"161","Staw Dąbski, Aleja Pokoju, 31-564 Krakow, Poland","Poland","Lesser Poland Voivodeship","Krakow","Staw Dąbski, Aleja Pokoju, 31-564 Krakow, Poland"
"162","1954 63rd Street, New York, NY 11204, United States of America","United States","New York","Kings County","New York"
"163","306 Gardenia Way, Buffalo Grove, IL 60089, United States of America","United States","Illinois","Lake County","Buffalo Grove"
"164","Stadion piłkarski Nafty Chorkówka, Bieszczadzka, 38-458 Zręcin, Poland","Poland","Subcarpathian Voivodeship","Krosno County","Zręcin"
"165","Sycamore Canyon Park, 22930 Golden Springs Drive, Diamond Bar, CA 91765, United States of America","United States","California","Los Angeles County","Diamond Bar"
"166","Via della Strage, 12, 06063 Magione PG, Italy","Italy","Umbria","Perugia","Magione"
"167","Avenida dos Aliados, 4000-067 Porto, Portugal","Portugal","Porto","Porto","Porto"
"168","527 South Street, Quincy, MA 02169, United States of America","United States","Massachusetts","Norfolk County","Quincy"
"169","Pestana Miramar","Pestana Miramar","Pestana Miramar","Pestana Miramar","Pestana Miramar"
"170","33 East Dominion Boulevard, Columbus, OH 43214, United States of America","United States","Ohio","Franklin County","Columbus"
"171","3101 Macarthur Road, Whitehall, PA 18052, United States of America","United States","Pennsylvania","Lehigh County","Whitehall"
"172","1 Place Du Château, 78600 Maisons-Laffitte, France","France","Ile-of-France","Yvelines","Maisons-Laffitte"
"173","Avenida dos Aliados, 4000-067 Porto, Portugal","Portugal","Porto","Porto","Porto"
"174","Avenida das Tílias, 3000-104 Coimbra, Portugal","Portugal","Coimbra","Coimbra","Avenida das Tílias, 3000-104 Coimbra, Portugal"
"175","R D Leonor De Freitas 4, 4400-123 Vila Nova de Gaia, Portugal","Portugal","Porto","Vila Nova de Gaia","R D Leonor De Freitas 4, 4400-123 Vila Nova de Gaia, Portugal"
"176","28 Severin Street, Brampton, ON L6R 3C3, Canada","Canada","Ontario","Peel Region","Brampton"
"177","Feliksa Nowowiejskiego 57, 61-734 Poznań, Poland","Poland","Greater Poland Voivodeship","Poznań","Feliksa Nowowiejskiego 57, 61-734 Poznań, Poland"
"178","Δημαρχείο Χαλκίδας, Φαρμακίδου 15, 341 00 Central Greece, Greece","Greece","Central Greece","Δημαρχείο Χαλκίδας, Φαρμακίδου 15, 341 00 Central Greece, Greece","Greece"
"179","Černokostelecká 1180/98, 100 00 Prague, Czechia","Czechia","Prague","Prague","Černokostelecká 1180/98, 100 00 Prague, Czechia"
"180","R Igreja 145, 4480-754 Vila do Conde, Portugal","Portugal","Porto","Vila do Conde","R Igreja 145, 4480-754 Vila do Conde, Portugal"
"181","Giardino delle Arti, Viale Primo Maggio, 1023 Turin Torino, Italy","Italy","Piemont","Torino","Turin"
"182","Πλατεία, Φιλίππου, 546 35 Thessaloniki Municipal Unit, Greece","Greece","Macedonia and Thrace","Thessaloniki Regional Unit","Thessaloniki Municipal Unit"
"183","Świętojerska 24, 00-202 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"184","Πλατεία, Φιλίππου, 546 35 Thessaloniki Municipal Unit, Greece","Greece","Macedonia and Thrace","Thessaloniki Regional Unit","Thessaloniki Municipal Unit"
"185","Jardim da Avenida Central, Avenida Central 534, 4710-305 Braga, Portugal","Portugal","Braga","Braga","Jardim da Avenida Central, Avenida Central 534, 4710-305 Braga, Portugal"
"186","Quarry Lane Local Nature Reserve, Fuller Close, Mansfield, NG18 5AT, United Kingdom","United Kingdom","England","Nottinghamshire","Mansfield"
"187","183 Nicholas Avenue, New York, NY 10302, United States of America","United States","New York","Richmond County","New York"
"188","2134 Cropsey Avenue, New York, NY 11214, United States of America","United States","New York","Kings County","New York"
"189","Jardim da Avenida Central, Avenida Central 534, 4710-305 Braga, Portugal","Portugal","Braga","Braga","Jardim da Avenida Central, Avenida Central 534, 4710-305 Braga, Portugal"
"190","7774 Newington Woods Drive, Springfield, VA 22153, United States of America","United States","Virginia","Fairfax County","Springfield"
"191","Ražas iela 1, Jūrmala, LV-2008, Latvia","Latvia","Jurmala","Jūrmala","Ražas iela 1, Jūrmala, LV-2008, Latvia"
"192","Podwale 47, 50-039 Wrocław, Poland","Poland","dolnoslaskie","Wrocław","Wrocław"
"193","383 Washington Street, Middletown, CT 06457, United States of America","United States","Connecticut","Middlesex County","Middletown"
"194","Travessa Conde Santiago de Lobão, 3720-222 Oliveira de Azeméis, Portugal","Portugal","Aveiro","Oliveira de Azeméis","Travessa Conde Santiago de Lobão, 3720-222 Oliveira de Azeméis, Portugal"
"195","1954 63rd Street, New York, NY 11204, United States of America","United States","New York","Kings County","New York"
"196","101 Isaiah Ntshangase Road, Ethekwini, Durban, South Africa","South Africa","Kwazulu-Natal","eThekwini","Durban"
"197","100 South Street, New Providence, NJ 07974, United States of America","United States","New Jersey","Union County","New Providence"
"198","Galar Gdański, Doki 1, 80-863 Gdansk, Poland","Poland","Pomorskie","Gdańsk","Gdansk"
"199","10330 West Thunderbird Blvd C216, Sun City, AZ 85351, United States of America","United States","Arizona","Maricopa County","Sun City"
"200","Siewna 75, 10-830 Olsztyn, Poland","Poland","Warmian-Masurian Voivodeship","Olsztyn","Olsztyn"
"201","1900 Main Street, Huntington Beach, CA 92648, United States of America","United States","California","Orange County","Huntington Beach"
"202","Zamkowa 23, 39-450 Gmina Baranów Sandomierski, Poland","Poland","Podkarpackie","Tarnobrzeg County","Gmina Baranów Sandomierski"
"203","Zapopan Park, 3018 Charlotte Avenue, Rosemead, CA 91770, United States of America","United States","California","Los Angeles County","Rosemead"
"204","Campo do Sport Clube Sanjoanense, Rua João Nunes Resende, 2695-611 Loures, Portugal","Portugal","Lisbon","Loures","Campo do Sport Clube Sanjoanense, Rua João Nunes Resende, 2695-611 Loures, Portugal"
"205","Veisburg 13א, 76227 Rehovot, Israel","Israel","Center District","Rehovot Subdistrict","Rehovot"
"206","1730 Sagamore Parkway South, Lafayette, IN 47905, United States of America","United States","Indiana","Tippecanoe County","Lafayette"
"207","3020 Bickers Street, Dallas, TX 75212, United States of America","United States","Texas","Dallas County","Dallas"
"208","27 Dane Avenue, Somerville, MA 02143, United States of America","United States","Massachusetts","Middlesex County","Somerville"
"209","The Botanic Garden of Brera, Via Borgonuovo, 20121 Milan MI, Italy","Italy","Lombardy","Milan","Milan"
